epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,278.664,1.84821,4.1333,3.38673,1.63535,0,0.00967,0.4279,0.02174,0.0071,0.00544,0.17529,0.00566,0.00115,2.12233,4.12392,3.69854,1.87704,0,0.000466807,0.000466807,0.000466807
2,581.055,1.95584,3.78826,2.93784,1.66714,0,0.40894,0.07038,0.03886,0.01328,0.40024,0.05029,0.02167,0.00572,2.25607,4.36314,3.15816,1.92891,0,0.000924466,0.000924466,0.000924466
3,873.993,1.99756,3.82325,2.65544,1.72475,0,0.43432,0.12634,0.05158,0.01651,0.3949,0.08777,0.02902,0.00722,2.26604,4.04984,3.16908,2.02947,0,0.00136326,0.00136326,0.00136326
4,1152.35,1.94639,3.78096,2.56968,1.69624,0,0.41187,0.13906,0.05544,0.01955,0.38213,0.11615,0.0308,0.00939,2.17645,4.01034,3.55591,1.99696,0,0.00134412,0.00134412,0.00134412
5,1455.51,1.90391,3.71582,2.49119,1.64654,0,0.08961,0.15323,0.07315,0.02854,0.07249,0.12707,0.05735,0.01546,2.23179,4.28295,3.31679,2.00274,0,0.00131582,0.00131582,0.00131582
6,1736.56,1.89846,3.69975,2.44824,1.66371,0,0.11988,0.19005,0.07924,0.02691,0.09572,0.10362,0.05009,0.01492,2.2123,3.89411,2.85637,1.91056,0,0.00128753,0.00128753,0.00128753
7,2075.43,1.86283,3.63517,2.43588,1.64713,0,0.07698,0.31848,0.08188,0.02749,0.04541,0.20313,0.04618,0.01521,2.12999,3.92594,3.26403,1.89546,0,0.00125923,0.00125923,0.00125923
8,2408.38,1.83262,3.58875,2.37844,1.6082,0,0.09599,0.22071,0.10371,0.04067,0.1054,0.1355,0.08329,0.02475,2.13294,4.02052,2.76694,1.85114,0,0.00123094,0.00123094,0.00123094
9,2760.11,1.84069,3.55163,2.36202,1.62257,0,0.16278,0.14002,0.11372,0.04511,0.15165,0.12869,0.08907,0.02797,2.06025,3.77317,2.6726,1.82898,0,0.00120265,0.00120265,0.00120265
10,3060.58,1.76324,3.45493,2.31398,1.58767,0,0.13824,0.27569,0.12101,0.04557,0.12885,0.22027,0.07848,0.0212,2.00758,3.83208,2.56311,1.78569,0,0.00117435,0.00117435,0.00117435
